case_id,sector,entities,years,decision_description,ethical_theme,outcome,impact_summary,est_people_affected,estimation_basis,sources
NZ-FIN-001,Banking,Kiwibank; Commerce Commission,2016–2022 (charges filed 2023),Fair Trading Act charges over representations about home loan interest changes and overcharging.,Fairness; Transparency; Accountability,Bad (harm) → remediation underway,Kiwibank allegedly misled customers and overcharged interest; the bank is addressing issues.,"36,000+ customers","ComCom said 'more than 36,000' customers were affected.",https://comcom.govt.nz/news-and-media/media-releases/2023/kiwibank-charged-over-alleged-fair-trading-act-breaches;https://gazette.govt.nz/notice/id/2024-go1325
NZ-FIN-002,Banking,Kiwibank,2024,Bank discovered and remediated fee waiver not applied correctly to joint accounts.,Justice; Rectification; Accountability,Good (self-reported; remediation),Refunds and interest paid to affected customers; systems updated.,"8,663 customers","Kiwibank said 8,663 customers were affected and ~$2.07m refunded.",https://www.kiwibank.co.nz/about-us/news-room/kb/joint-accounts-fee-waiver-not-applied-correctly/;https://www.odt.co.nz/business/banking/kiwibank-refunds-millions-over-fee-waiver-error
NZ-FIN-003,Banking (Responsible lending),TSB; Commerce Commission; High Court,2016–2019 (judgment 2024),Unreasonable default fees and non-compliance with lender responsibility obligations.,Duty of Care; Fairness; Compliance,Bad (court found breaches) → remediation,Court found TSB charged unreasonable fees; remediation and penalties followed.,"≈48,000 borrowers (range 42,000–48,000)",ComCom media release references 48k affected; court summary cites ~42k overcharged—range used.,https://comcom.govt.nz/news-and-media/media-releases/2024/court-confirms-tsb-charged-over-$3-million-in-unreasonable-fees;https://www.interest.co.nz/business/130381/court-finds-tsb-breached-responsible-lending-obligations-overcharging-customers-36m
NZ-FIN-004,Banking (add‑on insurance),ANZ; Financial Markets Authority; High Court,2001–2019 (penalty 2021),Misleading representations and charging for ineligible/duplicate Credit Card Repayment Insurance (CCRI).,Honesty; Informed Consent; Fair Dealing,Bad (mis-selling) → penalties and remediation,High Court ordered civil penalty; refunds to affected customers.,307 customers,FMA/Consumer NZ report noted 307 affected customers and $280k penalty.,https://www.fma.govt.nz/news/all-releases/media-releases/anz-ordered-to-pay-penalty/;https://www.consumer.org.nz/articles/anz-cops-280-000-fine-for-junk-insurance
NZ-FIN-005,Banking (Rural),ANZ; ASB; Westpac; Commerce Commission; FMA,2005–2012 (settlements 2014–2015),Misleading marketing/sale of interest rate swaps to farmers; settlements reached.,Suitability; Transparency; Power Imbalance,Mixed (harm acknowledged; compensation paid),Nearly $25.5m paid to eligible customers and rural charities; ~253 farmers affected.,≈253 farming customers,NZ Herald reported 253 affected farmers; ComCom/FMA settlement totals published.,https://www.fma.govt.nz/news/all-releases/media-releases/fma-reaches-settlement-with-anz-over-rural-interest-rate-swaps/;https://comcom.govt.nz/news-and-media/news-and-events/2015/settlement-payments-completed-in-interest-rate-swaps-case;https://www.nzherald.co.nz/business/companies/banking-finance/holdout-farmers-refuse-bank-payout-deal/42ISCJUSI6G7SQXNJ7FHYZ6HVQ/
NZ-FIN-006,Consumer finance / Fintech,Latitude Financial; NZTA; Privacy regulators (NZ & AU),2023,Massive cyber-attack and data breach including NZ driver licence data.,Privacy; Data Minimisation; Security; Duty of Care,Bad (large-scale privacy harm) → support/remediation,Stolen IDs created identity theft risks; licence replacements offered; regulators investigating.,"≈1,037,000 NZ licence numbers; 14,925 full images","1News confirmed 1,037,000 NZ licence numbers compromised; 14,925 full images; Latitude updates.",https://www.1news.co.nz/2023/03/28/over-1-million-nz-driver-licence-numbers-caught-up-in-latitude-hack/;https://www.latitudefinancial.com.au/latitude-cyber-incident/;https://www.nzta.govt.nz/driver-licences/latitude-financial-services-data-incident/
NZ-FIN-007,Banking (Dispute resolution),Banking Ombudsman Scheme; [bank name withheld in case note],2022 (case note R22-00604),"Customer’s card details were stolen and misused; bank reimbursed $80,000.",Restitution; Non-maleficence; Customer Care,Good (customer made whole),Bank accepted responsibility for its mistakes and reimbursed significant losses.,1 customer,Single case note; one consumer involved.,https://bankomb.org.nz/guides-and-cases/case-notes/unusual-transactions-uncontested-leading-to-a-scam/
NZ-FIN-008,Banking (Dispute resolution),Banking Ombudsman Scheme; [bank name withheld in case note],2016 (case note R16-001762),Authorised payment scam—customer approved payment after warnings; no reimbursement.,Autonomy; Responsibility; Risk Warnings,Bad for consumer (no reimbursement),Ombudsman found bank had warned the customer appropriately; loss not compensated.,1 customer,Single case note; one consumer involved.,https://bankomb.org.nz/guides-and-cases/case-notes/authorised-payment-scams-whats-the-banks-duty/
NZ-FIN-009,Non‑bank lender (consumer),Harmoney; Commerce Commission,2014–2021 (settlement 2021),Unreasonable loan establishment ('platform') fees charged to borrowers; $7m refunds.,Fairness; Transparency; Responsible lending,Bad (harm) → remediation,Borrowers overcharged over several years; refunds and fee cap implemented.,"≈37,000 borrowers","Consumer NZ and RNZ report ~37,000 borrowers to be compensated.",https://www.consumer.org.nz/articles/harmoney-repays-7m-in-unreasonable-fees;https://www.rnz.co.nz/news/business/450198/borrowers-to-get-refunds-after-harmoney-and-commerce-commission-strike-deal
NZ-FIN-010,Retirement savings (KiwiSaver),MBIE; Default KiwiSaver providers,2021–present,"Default provider reforms: lower fees, balanced risk, exclusion of fossil fuels.",Sustainability; Fiduciary Duty; Fair Pricing,Good (system-level consumer benefit),Changes affect default members through fee cuts and ethical exclusions.,"≈381,000 members","MBIE said about 381,000 members were in default funds when settings changed in 2021.",https://www.mbie.govt.nz/business-and-employment/business/financial-markets-regulation/kiwisaver/kiwisaver-default-provider-settings/
NZ-FIN-011,Payments (anti‑scam protections),NZ Banking Association; member banks,2024–2025 roll‑out,Industry anti‑scam commitments incl. Confirmation of Payee and reimbursement standards.,Harm prevention; Shared responsibility; Trust,Good (preventative protections),System changes aim to prevent misdirected payments and scams across participating banks.,949+ known scam disputes/year; potential user base = millions of bank customers,"Banking Ombudsman 2023/24: 949 scam-related disputes; NZBA says all major retail banks rolling out protections, covering most NZ bank customers.",https://bankomb.org.nz/annual-report;https://nzba.org.nz/banks-step-up-customer-scam-protections-and-compensation/
NZ-FIN-012,Payments (fees),Commerce Commission; MBIE; Visa; Mastercard; NZ Government,2022–2025,Interchange fee caps and (proposed) ban on most in‑store card surcharges to lower costs.,Consumer welfare; Fair pricing; Inclusion (small merchants),Good (broad consumer & SME benefit),Lower merchant costs expected to reduce prices/surcharges; broad impact on card users.,"≈3,000,000 consumers (rough order of magnitude)",MBIE estimated $74m annual savings from initial caps (2022). Reuters (2025) cites $150m consumer surcharge savings proposal; majority of adults use cards.,https://www.mbie.govt.nz/about/news/consumers-and-businesses-to-benefit-from-lower-payment-processing-fees;https://www.reuters.com/business/finance/new-zealand-plans-scrap-card-payment-surcharges-2025-07-28/
NZ-FIN-013,Open banking / Data portability,MBIE; Parliament (Customer and Product Data Act 2025),2025–2026 (banking first),Customer & Product Data Act (NZ’s Consumer Data Right) enabling data sharing starting with banking.,Autonomy; Data portability; Competition; Privacy safeguards,Mixed‑good (pro‑consumer; depends on safe implementation),Will let customers permission third parties to access bank data to get better deals/services.,Millions (customers of designated banks),Act passed in 2025; banking designated first—covers customers of major banks (majority of NZ adults).,https://www.mbie.govt.nz/business-and-employment/economic-development/consumer-data-right/;https://www.legislation.govt.nz/act/public/2025/0034/latest/whole.html
